DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:32.673236; ;128.1.77.226.2012;52.94.225.248;http:;S;1814954671:1814954791; ;512; ; ; ;120:
07:48:32.673252; ;128.1.77.226.2013;52.94.225.248;http:;S;980512701:980512821; ;512; ; ; ;120:
07:48:32.673269; ;128.1.77.226.2014;52.94.225.248;http:;S;376009761:376009881; ;512; ; ; ;120:
07:48:32.673285; ;128.1.77.226.2015;52.94.225.248;http:;S;1123639023:1123639143; ;512; ; ; ;120:
07:48:32.673301; ;128.1.77.226.2016;52.94.225.248;http:;S;2050209821:2050209941; ;512; ; ; ;120:
07:48:32.673320; ;128.1.77.226.2017;52.94.225.248;http:;S;761095928:761096048; ;512; ; ; ;120:
07:48:32.673337; ;128.1.77.226.2018;52.94.225.248;http:;S;175700924:175701044; ;512; ; ; ;120:
07:48:32.673353; ;128.1.77.226.2019;52.94.225.248;http:;S;758297091:758297211; ;512; ; ; ;120:
07:48:32.673370; ;128.1.77.226.2020;52.94.225.248;http:;S;1239598405:1239598525; ;512; ; ; ;120:
07:48:32.673398; ;128.1.77.226.2021;52.94.225.248;http:;S;1628332361:1628332481; ;512; ; ; ;120:
07:48:32.673418; ;128.1.77.226.2022;52.94.225.248;http:;S;345926733:345926853; ;512; ; ; ;120:
07:48:32.673438; ;128.1.77.226.2023;52.94.225.248;http:;S;853796564:853796684; ;512; ; ; ;120:
07:48:32.673457; ;128.1.77.226.2024;52.94.225.248;http:;S;955561421:955561541; ;512; ; ; ;120:
07:48:32.673476; ;128.1.77.226.2025;52.94.225.248;http:;S;1045467062:1045467182; ;512; ; ; ;120:
07:48:32.673496; ;128.1.77.226.2026;52.94.225.248;http:;S;396120388:396120508; ;512; ; ; ;120:
07:48:32.673512; ;128.1.77.226.2027;52.94.225.248;http:;S;744769113:744769233; ;512; ; ; ;120:
07:48:32.673529; ;128.1.77.226.2028;52.94.225.248;http:;S;700511193:700511313; ;512; ; ; ;120:
07:48:32.673545; ;128.1.77.226.2029;52.94.225.248;http:;S;1782477686:1782477806; ;512; ; ; ;120:
07:48:32.673562; ;128.1.77.226.2030;52.94.225.248;http:;S;801418120:801418240; ;512; ; ; ;120:
07:48:32.673578; ;128.1.77.226.2031;52.94.225.248;http:;S;1674191998:1674192118; ;512; ; ; ;120:
07:48:32.673594; ;128.1.77.226.2032;52.94.225.248;http:;S;1055525099:1055525219; ;512; ; ; ;120:
07:48:32.673611; ;128.1.77.226.2033;52.94.225.248;http:;S;206257561:206257681; ;512; ; ; ;120:
07:48:32.673627; ;128.1.77.226.2034;52.94.225.248;http:;S;1221814682:1221814802; ;512; ; ; ;120:
07:48:32.673644; ;128.1.77.226.2035;52.94.225.248;http:;S;141777539:141777659; ;512; ; ; ;120:
07:48:32.673660; ;128.1.77.226.2036;52.94.225.248;http:;S;573461557:573461677; ;512; ; ; ;120:
07:48:32.673677; ;128.1.77.226.2037;52.94.225.248;http:;S;1059689746:1059689866; ;512; ; ; ;120:
07:48:32.673693; ;128.1.77.226.2038;52.94.225.248;http:;S;530541022:530541142; ;512; ; ; ;120:
07:48:32.673710; ;128.1.77.226.2039;52.94.225.248;http:;S;901501861:901501981; ;512; ; ; ;120:
07:48:32.673726; ;128.1.77.226.2040;52.94.225.248;http:;S;149129691:149129811; ;512; ; ; ;120:
07:48:32.673742; ;128.1.77.226.2041;52.94.225.248;http:;S;1288965485:1288965605; ;512; ; ; ;120:
07:48:32.673759; ;128.1.77.226.2042;52.94.225.248;http:;S;1983049769:1983049889; ;512; ; ; ;120:
07:48:32.673776; ;128.1.77.226.2043;52.94.225.248;http:;S;1898853567:1898853687; ;512; ; ; ;120:
07:48:32.673792; ;128.1.77.226.2044;52.94.225.248;http:;S;2016889580:2016889700; ;512; ; ; ;120:
07:48:32.673809; ;128.1.77.226.2045;52.94.225.248;http:;S;565683921:565684041; ;512; ; ; ;120:
07:48:32.673825; ;128.1.77.226.2046;52.94.225.248;http:;S;816359261:816359381; ;512; ; ; ;120:
07:48:32.673841; ;128.1.77.226.2047;52.94.225.248;http:;S;524158125:524158245; ;512; ; ; ;120:
07:48:32.673858; ;128.1.77.226.2048;52.94.225.248;http:;S;450176443:450176563; ;512; ; ; ;120:
07:48:32.673874; ;128.1.77.226.nfs;52.94.225.248;http:;S;770115138:770115258; ;512; ; ; ;120:
